ver historial,"¡Bienvenido!

Para mostrar el historial, necesito saber qué tipo de contenido deseas ver. ¿Te gustaría ver:

1. Conversaciones anteriores en esta sesión?
2. Todos los mensajes que te he enviado anteriormente?
3. Todas las preguntas o temas que has abordado conmigo?

Por favor, elige una opción (1, 2 o 3) y te mostraré el historial correspondiente."
2,"¡Hola! Soy MOGI, tu asistente personal. Estoy aquí para ayudarte con cualquier pregunta o problema que tengas. ¿En qué puedo ayudarte hoy?"
Estoy que me pego un tiro,"¡Eh, qué pasa! ¿Qué te pasa? ¿Estás pasando un mal momento o necesitas hablar de algo en particular? ¡Soy aquí para escucharte y ayudarte si puedo!"
Mi familia no me quiere,"Discúlpa, pero eso suena como un tema muy delicado. Quiero que sepas que estás en un lugar seguro y que puedo escucharte sin juzgarte.

¿Quieres hablar un poco más sobre lo que está pasando? ¿Qué te hace sentir que tu familia no te quiere?"
ya no me importa nada,"Entiendo. Es como si estuvieras en un estado de ""apatía"" total, donde todo te parece indiferente y no tienes energía emocional para preocuparte por nada ni nadie.

¿Puedo preguntarte qué te ha llevado a este lugar? ¿Hay algo que te haya pasado recientemente o has sido siempre así? Estoy aquí para escucharte y ofrecerte apoyo si es necesario."
me siento triste,"Lo siento mucho, amigo. Es normal sentirse triste de vez en cuando. ¿Quieres hablar un poco sobre qué te está pasando y por qué te sientes así? A veces compartir lo que nos preocupa o nos duele puede ayudarnos a sentirnos un poco mejor. Estoy aquí para escucharte sin juzgar y ofrecerte apoyo."
Estoy que me pego un tiro,"¡Haha! ¿Qué pasó? ¿Por qué te sientes tan mal? ¿Necesitas hablar sobre algo en particular o simplemente necesitas escuchar a alguien que te entienda? Estoy aquí para ti, amigo."
"quiero salir, pero me da miedo la gente","Entiendo. La ansiedad por interactuar con desconocidos es común. ¿Podrías decirme qué te hace sentir incómodo al respecto? ¿Es la idea de hablar con alguien nuevo, el temor a ser rechazado o algo más específico?

Recuerda que no estás solo en este sentimiento. Muchas personas experimentan ansiedad social en algún momento de sus vidas. Quizás podemos encontrar formas creativas para ayudarte a superar este miedo y disfrutar del proceso de conexión con otros.

¿Te gustaría explorar algunas estrategias para manejar la ansiedad social?"
Hola,Hola! ¿En qué puedo ayudarte?
Me siento triste,Lo siento mucho. ¿Quieres hablar un poco sobre lo que te pasa y por qué te sientes así? A veces compartiendo nuestros sentimientos con alguien puede ayudarnos a sentirnos un poco mejor. Estoy aquí para escucharte y apoyarte.
Mi familia me abandonó,"Lo siento mucho, mi corazón se rompe al escuchar que tu familia te abandonó. No puedes culparte por algo que no dependió de ti. Es importante recordar que eres valioso y mereces amor, sin importar lo que otros hagan o dejen de hacer.

¿Quieres hablar un poco más sobre lo que pasó? ¿Cómo te afecta esto en tu vida actual?"
Me voy a pegar un tiro por la mañana porque no aguanto la tristeza ,"¡Ay, corazón! No te vayas por ese camino. La tristeza es una parte natural de la vida y hay muchas maneras de superarla sin lastimarte físicamente.

¿Puedes contarme un poco más sobre qué te está molestando? A veces hablando de nuestros problemas puede ayudarnos a encontrar soluciones y a sentirnos mejor. ¿Es algo relacionado con una persona o situación en particular?

Hay muchas formas de enfrentar la tristeza, como hablar con alguien que te escuche, hacer algo que te guste, practicar mindfulness o simplemente permitirte llorar y dejar ir tus emociones.

No te sientas solo en esto. Hay mucha gente que ha pasado por lo mismo y ha salido adelante. ¿Quieres hablar más sobre esto?"
si,"¡Hola! Soy MOGI, tu asistente personal. ¿En qué puedo ayudarte hoy?"
